Foretagsnamn,Organisationsnummer,Telefonnummer,Adress
QPG AB,556243-0933,031-303 44 00,"Geijersg. 1B, 411 34 Göteborg"
TOL Arkitekter AB,556710-7759,08-642 20 25,"Virkesvägen 24, 120 30 Stockholm"
Tillberg Design AB,556687-7816,076-722 30 86,"Småbåtshamnen 24, 26339 HÖGANÄS"
Nyréns Arkitektkontor Aktiebolag,556221-6613,08-698 43 00,"Magnus Ladulåsgatan 63, 118 27 Stockholm"
Falugruppen arkitektkontor AB,556954-7622,023-79 40 50,"Åsgatan 12, 791 71 Falun"
Brut Company AB,559476-6338,Brut Company AB,
Be Konstruktörer & Arkitekter AB,559335-6362,010-405 10 00,"Drottninggatan 97, 113 60 Stockholm"
AIX Arkitekter AB,556319-2086,08-690 29 00,"Hudiksvallsgatan 8, 113 30 Stockholm"
Magnus Ståhl Arkitektbyrå AB,556438-0474,08-677 00 99,"Parkvägen 7, 18160 Lidingö"
General Architecture Sweden AB,556710-9284,08-658 16 80,
Abako Arkitektkontor Aktiebolag,556093-1452,031-85 67 00,"Kastellgatan 1, 41307 Göteborg"
Åkerströms Arkitektkontor,500509-XXXX,0650-189 55,"Nybyggaregatan 2, 82451 Hudiksvall"
Mats Fredriksson arkitektkontor AB,556594-1779,011-10 00 66,"Skolgatan 1A, 60225 NORRKÖPING"
ATRIO arkitekter Västervik AB,556084-0885,0490-168 50,
Kanozi Arkitekter AB,556474-0024,070-514 48 14,"Järntorget 3, 413 04 Göteborg"
Equator Stockholm AB,556064-0616,08-506 025 00,"Sveavägen 24-26 7 tr., 111 83 Stockholm"
Total Arkitektur,556485-7315,08-441 36 00,
Rolf Eppens Arkitektur AB,556364-6040,08-651 00 80,"Industrig. 4, 112 46 Stockholm"
Reierstam Arkitektur & Projektutveckling AB,556903-5081,070-329 71 54,"Lindholmsvägen 22, 18645 VALLENTUNA"
Arkitektgruppen i Gävle AB,556046-8976,026-54 18 40,"VÅGSKRIVARGATAN 5 1 TR, 80320 Gävle"
U.D. Urban Design AB,556603-8948,070-827 77 04,
Torget Arkitekter AB,556724-5898,070-824 28 56,"Norr Mälarstrand 78, 112 35 Stockholm"
Jais Landén Krantz Arkitekter AB,556363-0036,,"Winstrupsgatan 1, 22222 Lund"
Åbergs Arkitektkontor,559430-5046,031-26 71 40,"Göteborgsvägen 73A, 433 63 Sävedalen"
Diabas Arkitekter AB,556677-0250,011-13 30 50,"REPSLAGAREGATAN 19, 602 25 NORRKÖPING"
